Rank,Name,Symbol,Price (USD),Market Cap,Vol (24H),Total Vol,Chg (24H),Chg (7D),Dataset Availability
1,Bitcoin,BTC,21311.3,$407.42B,$32.06B,45.55%,-0.75%,-11.84%,True
2,Ethereum,ETH,1623.22,$197.86B,$18.54B,26.34%,+0.92%,-14.82%,True
3,Tether,USDT,0.9999,$67.54B,$52.33B,74.35%,0%,-0.02%,True
4,USD Coin,USDC,1.0001,$52.26B,$5.45B,7.74%,0%,-0.01%,True
5,BNB,BNB,297.3,$47.87B,$1.46B,2.07%,-0.97%,-7.18%,True
6,Binance USD,BUSD,1.0001,$19.03B,$4.89B,6.95%,0%,+0.06%,True
7,XRP,XRP,0.3402,$16.90B,$1.01B,1.43%,-0.13%,-8.29%,True
8,Cardano,ADA,0.4588,$15.59B,$722.26M,1.03%,-0.65%,-18.04%,True
9,Solana,SOL,35.22,$12.27B,$1.13B,1.60%,-3.19%,-19.50%,True
10,Dogecoin,DOGE,0.068326,$9.10B,$454.17M,0.65%,-0.11%,-13.14%,True
11,Polkadot,DOT,7.41,$8.21B,$325.43M,0.46%,+0.27%,-16.03%,True
12,Shiba Inu,SHIB,1.3e-05,$7.23B,$451.78M,0.64%,-1.93%,-15.87%,True
13,Dai,DAI,0.9997,$6.98B,$502.24M,0.71%,-0.03%,+0.01%,True
14,Polygon,MATIC,0.82,$6.58B,$400.89M,0.57%,+0.74%,-14.66%,True
15,Avalanche,AVAX,22.8,$6.49B,$524.41M,0.75%,+0.04%,-18.20%,True
16,TRON,TRX,0.065902,$6.10B,$417.62M,0.59%,-0.37%,-4.28%,True
17,Wrapped Bitcoin,WBTC,21302.0,$5.27B,$216.85M,0.31%,-0.69%,-11.72%,True
18,Uniswap,UNI,7.0597,$5.24B,$180.55M,0.26%,-2.09%,-16.82%,True
19,UNUS SED LEO,LEO,5.1664,$4.90B,$3.21M,0%,+1.44%,-5.25%,True
20,Ethereum Classic,ETC,33.8004,$4.62B,$922.74M,1.31%,+1.35%,-18.15%,True
21,Litecoin,LTC,56.85,$4.03B,$790.25M,1.12%,+3.46%,-7.06%,True
22,FTX Token,FTT,27.6409,$3.71B,$307.90M,0.44%,+0.26%,-10.73%,True
23,Cosmos,ATOM,11.8604,$3.40B,$337.81M,0.48%,+11.67%,+4.13%,True
24,Chainlink,LINK,7.06,$3.33B,$418.75M,0.59%,+0.15%,-18.79%,True
25,Cronos,CRO,0.1284,$3.24B,$20.38M,0.03%,+0.96%,-15.56%,True
26,NEAR Protocol,NEAR,4.186,$3.23B,$340.46M,0.48%,-0.62%,-22.34%,True
27,Monero,XMR,154.49,$2.80B,$98.99M,0.14%,+0.89%,-6.35%,True
28,Stellar,XLM,0.10939,$2.76B,$106.39M,0.15%,-0.40%,-11.30%,True
29,Bitcoin Cash,BCH,123.3,$2.36B,$295.50M,0.42%,+3.44%,-10.30%,True
30,Bitcoin BEP2,BTCB,18678.18,$2.24B,$6.94M,0.01%,-0.75%,-11.79%,True
31,Flow,FLOW,2.1429,$2.21B,$78.57M,0.11%,-0.89%,-20.77%,True
32,Algorand,ALGO,0.3025,$2.08B,$74.37M,0.11%,-0.88%,-15.50%,True
33,VeChain,VET,0.02622,$1.90B,$82.76M,0.12%,-0.42%,-16.38%,True
34,EOS,EOS,1.8528,$1.84B,$1.45B,2.06%,+20.01%,+45.23%,True
35,Filecoin,FIL,6.33,$1.68B,$243.04M,0.35%,-0.91%,-23.99%,True
36,Internet Computer,ICP,6.36,$1.62B,$50.53M,0.07%,-1.48%,-17.98%,True
37,ApeCoin,APE,5.2179,$1.60B,$381.24M,0.54%,+1.45%,-16.76%,True
38,Decentraland,MANA,0.8335,$1.54B,$150.65M,0.21%,-1.75%,-20.85%,True
39,The Sandbox,SAND,1.05,$1.50B,$359.95M,0.51%,-1.65%,-19.80%,True
40,Tezos,XTZ,1.58405,$1.44B,$45.74M,0.06%,-2.29%,-13.27%,True
41,Hedera,HBAR,0.06648,$1.40B,$24.27M,0.03%,-4.57%,-14.70%,True
42,Chiliz,CHZ,0.2246,$1.34B,$706.23M,1.00%,+20.55%,+8.52%,True
43,Quant,QNT,106.32,$1.28B,$29.63M,0.04%,-4.79%,-6.74%,True
44,Elrond,EGLD,54.33,$1.25B,$36.16M,0.05%,-1.58%,-11.00%,True
45,Aave,AAVE,88.8,$1.24B,$192.78M,0.27%,+3.74%,-18.11%,True
46,Theta Network,THETA,1.2153,$1.21B,$28.13M,0.04%,-0.63%,-18.70%,True
47,Axie Infinity,AXS,14.29,$1.18B,$105.53M,0.15%,-0.49%,-22.48%,True
48,TrueUSD,TUSD,1.0002,$1.09B,$231.29M,0.33%,+0.01%,+0.07%,True
49,OKB,OKB,17.751,$1.06B,$16.77M,0.02%,+0.32%,-17.75%,True
50,Bitcoin SV,BSV,54.5,$1.04B,$65.75M,0.09%,+0.54%,-12.20%,True
51,Zcash,ZEC,65.05,$981.90M,$71.98M,0.10%,+1.49%,-11.80%,True
52,BitTorrent,BTTOLD,0.002777,$950.37M,$61.77K,0%,0%,-5.06%,False
53,Pax Dollar,USDP,1.0001,$947.80M,$6.52M,0.01%,0%,+0.27%,True
54,KuCoin Token,KCS,9.583,$939.90M,$2.31M,0%,+0.07%,-9.49%,True
55,BitTorrent (New),BTT,0.0,$838.56M,$54.66M,0.08%,0%,-9.35%,True
56,Maker,MKR,845.37,$824.94M,$204.88M,0.29%,+1.54%,-15.98%,True
57,Helium,HNT,6.62,$821.83M,$7.28M,0.01%,-3.07%,-19.08%,True
58,IOTA,MIOTA,0.29075,$809.03M,$9.21M,0.01%,-0.31%,-15.69%,True
59,The Graph,GRT,0.1119,$770.89M,$133.57M,0.19%,+4.02%,-17.00%,True
60,Fantom,FTM,0.2999,$762.49M,$289.07M,0.41%,-1.38%,-19.69%,True
61,USDD,USDD,1.0001,$747.86M,$14.27M,0.02%,-0.02%,+0.27%,True
62,Klaytn,KLAY,0.2528,$746.40M,$97.69M,0.14%,+2.26%,-15.78%,True
63,eCash,XEC,3.9e-05,$742.85M,$6.06M,0.01%,-1.50%,-15.37%,True
64,Synthetix,SNX,3.02,$704.82M,$93.30M,0.13%,0%,-18.46%,True
65,THORChain,RUNE,2.131,$703.74M,$81.09M,0.12%,-0.84%,-21.79%,True
66,Neo,NEO,9.7068,$683.19M,$49.45M,0.07%,-1.01%,-13.76%,True
67,Huobi Token,HT,4.4286,$679.11M,$12.29M,0.02%,+0.34%,-15.45%,True
68,Neutrino USD,USDN,0.9806,$677.43M,$3.41M,0%,+0.32%,-0.32%,True
69,Lido DAO,LDO,2.155,$671.19M,$261.33M,0.37%,+4.66%,-21.59%,True
70,Terra Classic,LUNC,9e-05,$607.09M,$49.90M,0.07%,-0.41%,-4.34%,False
71,Curve DAO Token,CRV,1.1187,$588.99M,$183.30M,0.26%,+9.46%,-15.83%,True
72,PAX Gold,PAXG,1731.0,$588.19M,$15.73M,0.02%,-0.46%,-2.45%,True
73,PancakeSwap,CAKE,3.901,$548.74M,$44.78M,0.06%,-0.69%,-8.06%,True
74,Basic Attention Token,BAT,0.36392,$544.28M,$32.90M,0.05%,-0.62%,-17.51%,True
75,Waves,WAVES,4.8213,$526.21M,$138.14M,0.20%,-1.19%,-19.02%,True
76,Dash,DASH,47.29,$514.62M,$85.00M,0.12%,+1.73%,-10.85%,True
77,Stacks,STX,0.385,$510.74M,$14.34M,0.02%,-1.53%,-20.83%,True
78,Nexo,NEXO,0.91,$505.87M,$13.47M,0.02%,-2.04%,-9.55%,True
79,Loopring,LRC,0.37692,$500.76M,$40.37M,0.06%,-1.39%,-19.98%,True
80,Enjin Coin,ENJ,0.558,$499.21M,$45.91M,0.07%,-1.66%,-18.54%,True
81,Zilliqa,ZIL,0.037258,$490.92M,$144.00M,0.20%,-0.75%,-18.75%,True
82,STEPN,GMT,0.7835,$469.93M,$215.72M,0.31%,-1.87%,-26.80%,True
83,Mina,MINA,0.728,$466.49M,$15.45M,0.02%,-0.27%,-15.16%,True
84,Kava,KAVA,1.831,$455.78M,$21.28M,0.03%,-0.70%,-18.21%,True
85,Trust Wallet Token,TWT,1.0375,$431.34M,$17.03M,0.02%,-4.36%,-9.78%,True
86,Bitcoin Gold,BTG,24.61,$430.09M,$20.36M,0.03%,-0.94%,-17.72%,True
87,Kusama,KSM,50.6965,$429.12M,$29.80M,0.04%,+0.41%,-12.31%,True
88,Gnosis,GNO,165.95,$427.53M,$5.00M,0.01%,-0.11%,-8.83%,True
89,Fei USD,FEI,0.9949,$420.01M,$23.33M,0.03%,+0.57%,+0.19%,True
90,NEM,XEM,0.04618,$414.76M,$11.88M,0.02%,+0.36%,-12.91%,True
91,Celsius,CEL,1.5768,$413.00M,$27.47M,0.04%,-19.53%,-39.27%,True
92,1inch,1INCH,0.708,$409.63M,$49.10M,0.07%,+1.43%,-14.45%,True
93,Celo,CELO,0.897,$409.12M,$14.69M,0.02%,-2.07%,-16.45%,True
94,Decred,DCR,28.46,$407.58M,$2.07M,0%,-1.55%,-11.91%,True
95,Arweave,AR,12.12,$404.19M,$21.00M,0.03%,-3.12%,-12.65%,True
96,Holo,HOT,0.002192,$379.69M,$17.38M,0.02%,-0.74%,-20.37%,True
97,Gala,GALA,0.05338,$371.82M,$203.51M,0.29%,-0.21%,-21.03%,True
98,Compound,COMP,51.15,$370.50M,$147.90M,0.21%,+1.55%,-16.76%,True
99,Qtum,QTUM,3.4749,$362.55M,$46.50M,0.07%,+1.01%,-14.93%,True
100,Convex Finance,CVX,5.35,$358.00M,$21.67M,0.03%,+1.52%,-19.65%,True
